"Circ/Dist and County","County Code","All FilingsTotal","All Filings Chap. 7","All Filings  Chap. 11","All Filings  Chap.12","All Filings Chap.13","Business Filings Total","Business Filings Chap.7","Business Filings Chap.11","Business Filings Chap.12","Business Filings Chap.13","Nonbusiness Filings Total","Nonbusiness Filings Chap.7","Nonbusiness Filings Chap.11","Nonbusiness Filings Chap.13","Bankruptcy Court"
MARICOPA,4013,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"2ND  "
"SAN FRANCISCO",6075,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"2ND  "
FAIRFIELD,9001,1903,1520,50,0,333,104,64,38,0,2,1799,1456,12,331,"2ND  "
HARTFORD,9003,1504,1244,15,0,245,63,45,12,0,6,1441,1199,3,239,"2ND  "
LITCHFIELD,9005,436,385,6,0,45,15,10,5,0,0,421,375,1,45,"2ND  "
MIDDLESEX,9007,292,253,1,0,38,12,11,0,0,1,280,242,1,37,"2ND  "
"NEW HAVEN",9009,1792,1429,18,0,345,52,34,17,0,1,1740,1395,1,344,"2ND  "
"NEW LONDON",9011,396,364,0,1,31,17,15,0,1,1,379,349,0,30,"2ND  "
TOLLAND,9013,193,164,5,0,24,10,3,5,0,2,183,161,0,22,"2ND  "
WINDHAM,9015,226,186,3,0,37,10,6,3,0,1,216,180,0,36,"2ND  "
BROWARD,12011,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"2ND  "
MIAMI-DADE,12086,1,1,0,0,0,1,1,0,0,0,0,0,0,0,"2ND  "
CLAYTON,13063,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"2ND  "
GWINNETT,13135,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"2ND  "
HAMPDEN,25013,2,2,0,0,0,0,0,0,0,0,2,2,0,0,"2ND  "
MIDDLESEX,25017,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"2ND  "
UNION,34039,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"2ND  "
BRONX,36005,4,2,0,0,2,0,0,0,0,0,4,2,0,2,"2ND  "
NASSAU,36059,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"2ND  "
"NEW YORK",36061,2,1,1,0,0,1,0,1,0,0,1,1,0,0,"2ND  "
PUTNAM,36079,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"2ND  "
ROCKLAND,36087,1,1,0,0,0,1,1,0,0,0,0,0,0,0,"2ND  "
WESTCHESTER,36119,2,1,0,0,1,0,0,0,0,0,2,1,0,1,"2ND  "
KENT,44003,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"2ND  "
WASHINGTON,44009,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"2ND  "
AIKEN,45003,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"2ND  "
HARRIS,48201,1,0,1,0,0,1,0,1,0,0,0,0,0,0,"2ND  "
"OUTSIDE HOME STATE",88888,1,0,1,0,0,1,0,1,0,0,0,0,0,0,"2ND  "
"OUTSIDE U.S.",99999,6,0,6,0,0,6,0,6,0,0,0,0,0,0,"2ND  "
"ANCHORAGE (MUNICIPALITY)",2020,204,164,0,0,40,13,9,0,0,4,191,155,0,36,AK
"BETHEL (CENSUS AREA)",2050,3,1,0,0,2,0,0,0,0,0,3,1,0,2,AK
"DENALI (BOROUGH)",2068,1,1,0,0,0,0,0,0,0,0,1,1,0,0,AK
"FAIRBANKS NORTH STAR (BOR)",2090,66,54,0,0,12,3,1,0,0,2,63,53,0,10,AK
"JUNEAU (CITY AND BOROUGH)",2110,8,7,0,0,1,2,2,0,0,0,6,5,0,1,AK
"KENAI PENINSULA (BOROUGH)",2122,33,31,0,0,2,2,2,0,0,0,31,29,0,2,AK
"KETCHIKAN GATEWAY (BOROUGH)",2130,13,10,0,0,3,1,1,0,0,0,12,9,0,3,AK
"KODIAK ISLAND (BOROUGH)",2150,2,1,0,1,0,1,0,0,1,0,1,1,0,0,AK
"MATANUSKA-SUSITNA (BOROUGH)",2170,84,73,0,0,11,6,5,0,0,1,78,68,0,10,AK
"NORTHWEST ARCTIC (BOROUGH)",2188,1,1,0,0,0,1,1,0,0,0,0,0,0,0,AK
"PRINCE OF WALES-HYDER (CENSUS)",2198,2,2,0,0,0,0,0,0,0,0,2,2,0,0,AK
"SKAGWAY (MUNICIPALITY)",2230,1,1,0,0,0,1,1,0,0,0,0,0,0,0,AK
"VALDEZ-CORDOVA (CENSUS AREA)",2261,3,3,0,0,0,0,0,0,0,0,3,3,0,0,AK
"WADE HAMPTON (CENSUS AREA)",2270,2,1,0,0,1,0,0,0,0,0,2,1,0,1,AK
"WRANGELL (CITY AND BOROUGH)",2275,1,1,0,0,0,0,0,0,0,0,1,1,0,0,AK
"YAKUTAT (CITY AND BOROUGH)",2282,1,0,0,0,1,0,0,0,0,0,1,0,0,1,AK
SEMINOLE,12117,1,0,0,0,1,1,0,0,0,1,0,0,0,0,AK
UMATILLA,41059,1,0,0,0,1,0,0,0,0,0,1,0,0,1,AK
WEBER,49057,1,0,0,0,1,0,0,0,0,0,1,0,0,1,AK
AUTAUGA,1001,314,88,1,0,225,7,6,1,0,0,307,82,0,225,"AL M"
BALDWIN,1003,2,0,0,0,2,0,0,0,0,0,2,0,0,2,"AL M"
BARBOUR,1005,211,23,0,0,188,2,2,0,0,0,209,21,0,188,"AL M"
BIBB,1007,2,0,0,0,2,0,0,0,0,0,2,0,0,2,"AL M"
BLOUNT,1009,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL M"
BULLOCK,1011,45,2,0,0,43,0,0,0,0,0,45,2,0,43,"AL M"
BUTLER,1013,199,14,0,0,185,0,0,0,0,0,199,14,0,185,"AL M"
CALHOUN,1015,2,0,0,0,2,0,0,0,0,0,2,0,0,2,"AL M"
CHAMBERS,1017,387,64,0,0,323,3,2,0,0,1,384,62,0,322,"AL M"
CHILTON,1021,198,79,0,0,119,5,5,0,0,0,193,74,0,119,"AL M"
CLARKE,1025,4,1,0,0,3,1,1,0,0,0,3,0,0,3,"AL M"
CLAY,1027,113,23,0,0,90,2,2,0,0,0,111,21,0,90,"AL M"
COFFEE,1031,281,40,1,0,240,1,0,1,0,0,280,40,0,240,"AL M"
CONECUH,1035,40,6,0,0,34,0,0,0,0,0,40,6,0,34,"AL M"
COOSA,1037,47,13,0,0,34,0,0,0,0,0,47,13,0,34,"AL M"
COVINGTON,1039,191,35,0,0,156,2,2,0,0,0,189,33,0,156,"AL M"
CRENSHAW,1041,84,14,0,0,70,0,0,0,0,0,84,14,0,70,"AL M"
DALE,1045,364,53,1,0,310,2,0,1,0,1,362,53,0,309,"AL M"
DALLAS,1047,66,7,1,0,58,1,0,1,0,0,65,7,0,58,"AL M"
ELMORE,1051,450,97,0,0,353,3,3,0,0,0,447,94,0,353,"AL M"
ESCAMBIA,1053,51,4,0,0,47,0,0,0,0,0,51,4,0,47,"AL M"
ETOWAH,1055,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL M"
GENEVA,1061,102,27,0,1,74,3,1,0,1,1,99,26,0,73,"AL M"
HALE,1065,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL M"
HENRY,1067,115,14,0,0,101,3,3,0,0,0,112,11,0,101,"AL M"
HOUSTON,1069,831,181,4,1,645,18,10,4,1,3,813,171,0,642,"AL M"
JACKSON,1071,3,1,0,0,2,0,0,0,0,0,3,1,0,2,"AL M"
JEFFERSON,1073,6,6,0,0,0,0,0,0,0,0,6,6,0,0,"AL M"
LEE,1081,747,171,1,0,575,6,5,1,0,0,741,166,0,575,"AL M"
LOWNDES,1085,100,9,0,0,91,0,0,0,0,0,100,9,0,91,"AL M"
MACON,1087,184,23,0,0,161,2,1,0,0,1,182,22,0,160,"AL M"
MADISON,1089,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL M"
MARENGO,1091,8,2,0,0,6,1,1,0,0,0,7,1,0,6,"AL M"
MOBILE,1097,5,1,0,0,4,0,0,0,0,0,5,1,0,4,"AL M"
MONROE,1099,14,2,0,0,12,0,0,0,0,0,14,2,0,12,"AL M"
MONTGOMERY,1101,1510,283,3,0,1224,25,22,2,0,1,1485,261,1,1223,"AL M"
PERRY,1105,4,0,0,0,4,0,0,0,0,0,4,0,0,4,"AL M"
PIKE,1109,201,16,0,0,185,2,0,0,0,2,199,16,0,183,"AL M"
RANDOLPH,1111,158,35,0,0,123,1,1,0,0,0,157,34,0,123,"AL M"
RUSSELL,1113,370,98,0,0,272,4,4,0,0,0,366,94,0,272,"AL M"
"ST. CLAIR",1115,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL M"
SHELBY,1117,8,3,0,0,5,0,0,0,0,0,8,3,0,5,"AL M"
TALLADEGA,1121,6,1,0,0,5,0,0,0,0,0,6,1,0,5,"AL M"
TALLAPOOSA,1123,418,91,0,0,327,3,3,0,0,0,415,88,0,327,"AL M"
TUSCALOOSA,1125,5,2,0,0,3,0,0,0,0,0,5,2,0,3,"AL M"
WASHINGTON,1129,3,2,0,0,1,0,0,0,0,0,3,2,0,1,"AL M"
WILCOX,1131,18,1,0,0,17,0,0,0,0,0,18,1,0,17,"AL M"
BAY,12005,3,1,0,0,2,0,0,0,0,0,3,1,0,2,"AL M"
ESCAMBIA,12033,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL M"
GADSDEN,12039,2,0,0,0,2,0,0,0,0,0,2,0,0,2,"AL M"
HOLMES,12059,12,7,0,0,5,1,1,0,0,0,11,6,0,5,"AL M"
JACKSON,12063,16,4,0,0,12,0,0,0,0,0,16,4,0,12,"AL M"
LEON,12073,2,1,0,0,1,0,0,0,0,0,2,1,0,1,"AL M"
"SANTA ROSA",12113,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL M"
WALTON,12131,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL M"
WASHINGTON,12133,3,2,0,0,1,0,0,0,0,0,3,2,0,1,"AL M"
CLAY,13061,2,0,0,0,2,0,0,0,0,0,2,0,0,2,"AL M"
COBB,13067,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL M"
COLQUITT,13071,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL M"
COWETA,13077,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL M"
DECATUR,13087,5,0,0,0,5,0,0,0,0,0,5,0,0,5,"AL M"
DEKALB,13089,2,0,0,0,2,0,0,0,0,0,2,0,0,2,"AL M"
DOUGHERTY,13095,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL M"
DOUGLAS,13097,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL M"
EARLY,13099,9,3,0,0,6,1,1,0,0,0,8,2,0,6,"AL M"
EFFINGHAM,13103,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL M"
FULTON,13121,2,1,0,0,1,0,0,0,0,0,2,1,0,1,"AL M"
GWINNETT,13135,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL M"
HARRIS,13145,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL M"
HOUSTON,13153,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL M"
MILLER,13201,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL M"
MUSCOGEE,13215,8,2,0,0,6,0,0,0,0,0,8,2,0,6,"AL M"
QUITMAN,13239,18,2,0,0,16,0,0,0,0,0,18,2,0,16,"AL M"
RANDOLPH,13243,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL M"
RICHMOND,13245,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL M"
SEMINOLE,13253,3,1,0,0,2,0,0,0,0,0,3,1,0,2,"AL M"
TROUP,13285,8,1,0,0,7,0,0,0,0,0,8,1,0,7,"AL M"
ALLEN,18003,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL M"
ORLEANS,22071,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL M"
DAVIDSON,47037,1,1,0,0,0,1,1,0,0,0,0,0,0,0,"AL M"
"VIRGINIA BEACH (CITY)",51810,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL M"
"OUTSIDE HOME STATE",88888,20,7,0,0,13,0,0,0,0,0,20,7,0,13,"AL M"
"OUTSIDE U.S.",99999,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL M"
AUTAUGA,1001,1,1,0,0,0,1,1,0,0,0,0,0,0,0,"AL N"
BIBB,1007,106,36,1,0,69,2,1,1,0,0,104,35,0,69,"AL N"
BLOUNT,1009,180,114,0,0,66,7,7,0,0,0,173,107,0,66,"AL N"
CALHOUN,1015,413,283,2,0,128,7,5,2,0,0,406,278,0,128,"AL N"
CHEROKEE,1019,92,65,0,0,27,2,2,0,0,0,90,63,0,27,"AL N"
CHILTON,1021,17,12,0,0,5,0,0,0,0,0,17,12,0,5,"AL N"
CHOCTAW,1023,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL N"
CLAY,1027,34,20,0,0,14,1,0,0,0,1,33,20,0,13,"AL N"
CLEBURNE,1029,38,27,0,0,11,4,4,0,0,0,34,23,0,11,"AL N"
COLBERT,1033,239,118,2,0,119,2,1,1,0,0,237,117,1,119,"AL N"
CULLMAN,1043,396,250,0,1,145,2,1,0,1,0,394,249,0,145,"AL N"
DALE,1045,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL N"
DEKALB,1049,150,110,0,0,40,6,5,0,0,1,144,105,0,39,"AL N"
ELMORE,1051,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL N"
ETOWAH,1055,353,247,0,0,106,3,3,0,0,0,350,244,0,106,"AL N"
FAYETTE,1057,56,12,0,0,44,0,0,0,0,0,56,12,0,44,"AL N"
FRANKLIN,1059,98,57,0,0,41,1,1,0,0,0,97,56,0,41,"AL N"
GREENE,1063,63,6,0,0,57,0,0,0,0,0,63,6,0,57,"AL N"
HALE,1065,73,8,0,0,65,0,0,0,0,0,73,8,0,65,"AL N"
JACKSON,1071,162,88,0,0,74,0,0,0,0,0,162,88,0,74,"AL N"
JEFFERSON,1073,3831,1902,6,0,1923,47,40,6,0,1,3784,1862,0,1922,"AL N"
LAMAR,1075,35,10,0,0,25,1,1,0,0,0,34,9,0,25,"AL N"
LAUDERDALE,1077,559,270,0,0,289,8,7,0,0,1,551,263,0,288,"AL N"
LAWRENCE,1079,98,48,0,0,50,0,0,0,0,0,98,48,0,50,"AL N"
LIMESTONE,1083,450,235,0,0,215,5,5,0,0,0,445,230,0,215,"AL N"
MADISON,1089,1509,738,11,0,760,33,22,11,0,0,1476,716,0,760,"AL N"
MARENGO,1091,16,4,0,0,12,1,1,0,0,0,15,3,0,12,"AL N"
MARION,1093,70,35,0,0,35,0,0,0,0,0,70,35,0,35,"AL N"
MARSHALL,1095,299,233,0,0,66,3,2,0,0,1,296,231,0,65,"AL N"
MOBILE,1097,2,2,0,0,0,0,0,0,0,0,2,2,0,0,"AL N"
MONTGOMERY,1101,2,1,0,0,1,0,0,0,0,0,2,1,0,1,"AL N"
MORGAN,1103,460,252,2,0,206,7,5,2,0,0,453,247,0,206,"AL N"
PERRY,1105,7,0,0,0,7,0,0,0,0,0,7,0,0,7,"AL N"
PICKENS,1107,104,12,0,0,92,0,0,0,0,0,104,12,0,92,"AL N"
PIKE,1109,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL N"
RANDOLPH,1111,3,1,0,0,2,0,0,0,0,0,3,1,0,2,"AL N"
RUSSELL,1113,1,0,1,0,0,1,0,1,0,0,0,0,0,0,"AL N"
"ST. CLAIR",1115,267,192,2,0,73,5,3,2,0,0,262,189,0,73,"AL N"
SHELBY,1117,686,445,3,0,238,30,28,2,0,0,656,417,1,238,"AL N"
SUMTER,1119,42,7,0,0,35,2,2,0,0,0,40,5,0,35,"AL N"
TALLADEGA,1121,346,169,0,0,177,2,2,0,0,0,344,167,0,177,"AL N"
TALLAPOOSA,1123,2,2,0,0,0,0,0,0,0,0,2,2,0,0,"AL N"
TUSCALOOSA,1125,1284,208,4,0,1072,12,7,4,0,1,1272,201,0,1071,"AL N"
WALKER,1127,276,128,0,0,148,1,1,0,0,0,275,127,0,148,"AL N"
WINSTON,1133,44,22,0,0,22,1,1,0,0,0,43,21,0,22,"AL N"
CRAWFORD,5033,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL N"
PRAIRIE,5117,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL N"
BARTOW,13015,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL N"
CARROLL,13045,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL N"
CHEROKEE,13057,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL N"
CLAYTON,13063,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL N"
COBB,13067,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL N"
DEKALB,13089,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL N"
FULTON,13121,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL N"
GWINNETT,13135,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL N"
PAULDING,13223,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL N"
POLK,13233,2,2,0,0,0,0,0,0,0,0,2,2,0,0,"AL N"
ROCKDALE,13247,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL N"
WALKER,13295,2,0,0,0,2,0,0,0,0,0,2,0,0,2,"AL N"
"ST. CLAIR",17163,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL N"
MARION,18097,1,1,0,0,0,1,1,0,0,0,0,0,0,0,"AL N"
HARDIN,21093,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL N"
BOSSIER,22015,2,1,0,0,1,0,0,0,0,0,2,1,0,1,"AL N"
LIVINGSTON,22063,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL N"
"ANNE ARUNDEL",24003,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL N"
"PRINCE GEORGE'S",24033,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL N"
TISHOMINGO,28141,4,4,0,0,0,0,0,0,0,0,4,4,0,0,"AL N"
FRANKLIN,47051,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL N"
GILES,47055,2,2,0,0,0,0,0,0,0,0,2,2,0,0,"AL N"
LINCOLN,47103,9,6,0,0,3,1,1,0,0,0,8,5,0,3,"AL N"
MAURY,47119,3,0,0,0,3,0,0,0,0,0,3,0,0,3,"AL N"
SEVIER,47155,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL N"
WAYNE,47181,3,2,0,0,1,0,0,0,0,0,3,2,0,1,"AL N"
BURNET,48053,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL N"
WEBER,49057,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL N"
"LYNCHBURG (CITY)",51680,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL N"
"OUTSIDE HOME STATE",88888,15,2,0,0,13,0,0,0,0,0,15,2,0,13,"AL N"
BALDWIN,1003,815,352,8,0,455,21,13,7,0,1,794,339,1,454,"AL S"
BUTLER,1013,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL S"
CHOCTAW,1023,34,7,1,0,26,0,0,0,0,0,34,7,1,26,"AL S"
CLARKE,1025,102,23,1,0,78,2,1,1,0,0,100,22,0,78,"AL S"
CONECUH,1035,31,7,0,0,24,1,0,0,0,1,30,7,0,23,"AL S"
DALLAS,1047,332,85,4,0,243,8,3,3,0,2,324,82,1,241,"AL S"
ELMORE,1051,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL S"
ESCAMBIA,1053,143,32,0,0,111,2,2,0,0,0,141,30,0,111,"AL S"
GREENE,1063,2,0,0,0,2,0,0,0,0,0,2,0,0,2,"AL S"
HALE,1065,14,3,0,0,11,0,0,0,0,0,14,3,0,11,"AL S"
JEFFERSON,1073,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL S"
MADISON,1089,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL S"
MARENGO,1091,88,22,0,0,66,1,0,0,0,1,87,22,0,65,"AL S"
MOBILE,1097,2483,714,7,1,1761,21,16,4,1,0,2462,698,3,1761,"AL S"
MONROE,1099,83,10,1,0,72,2,1,1,0,0,81,9,0,72,"AL S"
MONTGOMERY,1101,2,0,0,0,2,0,0,0,0,0,2,0,0,2,"AL S"
PERRY,1105,13,0,0,0,13,0,0,0,0,0,13,0,0,13,"AL S"
SUMTER,1119,5,1,0,0,4,0,0,0,0,0,5,1,0,4,"AL S"
TUSCALOOSA,1125,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL S"
WASHINGTON,1129,71,9,0,0,62,0,0,0,0,0,71,9,0,62,"AL S"
WILCOX,1131,60,20,1,0,39,0,0,0,0,0,60,20,1,39,"AL S"
DEKALB,13089,2,1,0,0,1,0,0,0,0,0,2,1,0,1,"AL S"
CALCASIEU,22019,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL S"
MACOMB,26099,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL S"
WAYNE,26163,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL S"
MARION,28091,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"AL S"
MONTGOMERY,39113,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL S"
OKLAHOMA,40109,2,2,0,0,0,2,2,0,0,0,0,0,0,0,"AL S"
WAUKESHA,55133,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL S"
"OUTSIDE HOME STATE",88888,4,0,1,0,3,1,0,1,0,0,3,0,0,3,"AL S"
