"Circ/Dist and County","County Code","All FilingsTotal","All Filings Chap. 7","All Filings  Chap. 11","All Filings  Chap.12","All Filings Chap.13","Business Filings Total","Business Filings Chap.7","Business Filings Chap.11","Business Filings Chap.12","Business Filings Chap.13","Nonbusiness Filings Total","Nonbusiness Filings Chap.7","Nonbusiness Filings Chap.11","Nonbusiness Filings Chap.13","Bankruptcy Court"
YOLO,6113,331,262,1,0,68,18,15,1,0,2,313,247,0,66,"CA E"
YUBA,6115,152,119,0,1,32,1,0,0,1,0,151,119,0,32,"CA E"
BREVARD,12009,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA E"
PINELLAS,12103,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"CA E"
HONOLULU,15003,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA E"
ADA,16001,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA E"
SEDGWICK,20173,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA E"
"SAN JUAN",35045,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"CA E"
STANLY,37167,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"CA E"
BENTON,41003,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"CA E"
DOUGLAS,41019,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA E"
LANE,41039,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA E"
HARRIS,48201,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA E"
TARRANT,48439,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"CA E"
"SALT LAKE",49035,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA E"
CLARK,53011,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA E"
"OUTSIDE HOME STATE",88888,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA E"
"OUTSIDE U.S.",99999,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA E"
MOBILE,1097,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"CA N"
ALAMEDA,6001,2403,1416,22,0,965,111,75,18,0,18,2292,1341,4,947,"CA N"
CALAVERAS,6009,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"CA N"
"CONTRA COSTA",6013,2281,1356,17,0,908,89,60,12,0,17,2192,1296,5,891,"CA N"
"DEL NORTE",6015,28,22,0,0,6,0,0,0,0,0,28,22,0,6,"CA N"
FRESNO,6019,6,5,0,0,1,0,0,0,0,0,6,5,0,1,"CA N"
GLENN,6021,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"CA N"
HUMBOLDT,6023,112,87,2,0,23,5,2,2,0,1,107,85,0,22,"CA N"
LAKE,6033,99,89,0,0,10,3,3,0,0,0,96,86,0,10,"CA N"
"LOS ANGELES",6037,6,5,0,0,1,0,0,0,0,0,6,5,0,1,"CA N"
MARIN,6041,253,190,9,0,54,34,25,6,0,3,219,165,3,51,"CA N"
MENDOCINO,6045,129,96,1,1,31,4,2,1,1,0,125,94,0,31,"CA N"
MONTEREY,6053,1853,958,16,0,879,47,37,7,0,3,1806,921,9,876,"CA N"
NAPA,6055,176,126,3,0,47,19,15,3,0,1,157,111,0,46,"CA N"
ORANGE,6059,4,2,0,0,2,1,1,0,0,0,3,1,0,2,"CA N"
RIVERSIDE,6065,2,1,0,0,1,0,0,0,0,0,2,1,0,1,"CA N"
SACRAMENTO,6067,14,7,1,0,6,1,0,1,0,0,13,7,0,6,"CA N"
"SAN BENITO",6069,183,65,1,0,117,3,2,1,0,0,180,63,0,117,"CA N"
"SAN BERNARDINO",6071,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"CA N"
"SAN DIEGO",6073,2,0,0,0,2,0,0,0,0,0,2,0,0,2,"CA N"
"SAN FRANCISCO",6075,683,409,17,0,257,78,58,12,0,8,605,351,5,249,"CA N"
"SAN JOAQUIN",6077,9,5,0,0,4,0,0,0,0,0,9,5,0,4,"CA N"
"SAN MATEO",6081,934,553,21,0,360,62,39,16,0,7,872,514,5,353,"CA N"
"SANTA BARBARA",6083,1,1,0,0,0,1,1,0,0,0,0,0,0,0,"CA N"
"SANTA CLARA",6085,2926,1600,36,0,1290,127,87,29,0,11,2799,1513,7,1279,"CA N"
"SANTA CRUZ",6087,455,277,4,2,172,22,14,3,2,3,433,263,1,169,"CA N"
SOLANO,6095,12,5,0,0,7,0,0,0,0,0,12,5,0,7,"CA N"
SONOMA,6097,832,620,15,2,194,48,31,10,2,4,784,589,5,190,"CA N"
STANISLAUS,6099,6,0,0,0,6,0,0,0,0,0,6,0,0,6,"CA N"
ARAPAHOE,8005,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"CA N"
"EL PASO",8041,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"CA N"
HARTFORD,9003,2,0,2,0,0,2,0,2,0,0,0,0,0,0,"CA N"
BROWARD,12011,1,1,0,0,0,1,1,0,0,0,0,0,0,0,"CA N"
MIAMI-DADE,12086,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA N"
COBB,13067,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"CA N"
PAULDING,13223,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA N"
BLAINE,16013,1,0,1,0,0,1,0,1,0,0,0,0,0,0,"CA N"
COOK,17031,2,0,0,0,2,0,0,0,0,0,2,0,0,2,"CA N"
VANDERBURGH,18163,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"CA N"
CECIL,24015,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA N"
PASSAIC,34031,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA N"
BEXAR,48029,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"CA N"
TARRANT,48439,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"CA N"
WILLIAMSON,48491,1,0,1,0,0,1,0,1,0,0,0,0,0,0,"CA N"
"SALT LAKE",49035,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"CA N"
SPOKANE,53063,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA N"
"OUTSIDE HOME STATE",88888,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"CA N"
"CONTRA COSTA",6013,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA S"
FRESNO,6019,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"CA S"
IMPERIAL,6025,422,371,1,0,50,6,3,1,0,2,416,368,0,48,"CA S"
KERN,6029,2,1,0,0,1,0,0,0,0,0,2,1,0,1,"CA S"
"LOS ANGELES",6037,10,6,1,0,3,2,1,1,0,0,8,5,0,3,"CA S"
ORANGE,6059,5,4,0,0,1,1,1,0,0,0,4,3,0,1,"CA S"
RIVERSIDE,6065,20,13,0,0,7,0,0,0,0,0,20,13,0,7,"CA S"
"SAN BERNARDINO",6071,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA S"
"SAN DIEGO",6073,9521,7640,38,0,1842,367,293,27,0,46,9154,7347,11,1796,"CA S"
"SAN FRANCISCO",6075,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA S"
"SAN LUIS OBISPO",6079,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA S"
"SANTA BARBARA",6083,2,0,0,0,2,0,0,0,0,0,2,0,0,2,"CA S"
"SANTA CLARA",6085,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA S"
TUOLUMNE,6109,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA S"
VENTURA,6111,3,2,0,0,1,0,0,0,0,0,3,2,0,1,"CA S"
ARAPAHOE,8005,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA S"
DUVAL,12031,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"CA S"
BONNEVILLE,16019,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA S"
KANE,17089,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"CA S"
SARPY,31153,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"CA S"
BRUNSWICK,37019,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA S"
COLUMBIANA,39029,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA S"
COLUMBIA,41009,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA S"
SHELBY,47157,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA S"
"OUTSIDE HOME STATE",88888,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"CA S"
"OUTSIDE U.S.",99999,2,2,0,0,0,0,0,0,0,0,2,2,0,0,"CA S"
MADISON,1089,1,1,0,0,0,0,0,0,0,0,1,1,0,0,CO
BENTON,5007,1,0,0,0,1,0,0,0,0,0,1,0,0,1,CO
"LOS ANGELES",6037,1,0,0,0,1,0,0,0,0,0,1,0,0,1,CO
"SAN DIEGO",6073,1,0,0,0,1,0,0,0,0,0,1,0,0,1,CO
"SAN JOAQUIN",6077,1,0,0,0,1,0,0,0,0,0,1,0,0,1,CO
ADAMS,8001,2161,1756,6,0,399,22,14,6,0,2,2139,1742,0,397,CO
ALAMOSA,8003,47,43,0,0,4,1,1,0,0,0,46,42,0,4,CO
ARAPAHOE,8005,2595,2150,6,0,439,52,40,6,0,6,2543,2110,0,433,CO
ARCHULETA,8007,11,11,0,0,0,0,0,0,0,0,11,11,0,0,CO
BACA,8009,6,6,0,0,0,0,0,0,0,0,6,6,0,0,CO
BENT,8011,9,9,0,0,0,0,0,0,0,0,9,9,0,0,CO
BOULDER,8013,531,464,1,0,66,27,23,1,0,3,504,441,0,63,CO
BROOMFIELD,8014,137,112,0,0,25,5,4,0,0,1,132,108,0,24,CO
CHAFFEE,8015,25,21,1,0,3,1,1,0,0,0,24,20,1,3,CO
CHEYENNE,8017,2,2,0,0,0,0,0,0,0,0,2,2,0,0,CO
"CLEAR CREEK",8019,27,22,0,0,5,2,2,0,0,0,25,20,0,5,CO
CONEJOS,8021,13,12,0,0,1,0,0,0,0,0,13,12,0,1,CO
COSTILLA,8023,7,7,0,0,0,0,0,0,0,0,7,7,0,0,CO
CROWLEY,8025,8,5,0,0,3,0,0,0,0,0,8,5,0,3,CO
CUSTER,8027,6,4,0,0,2,0,0,0,0,0,6,4,0,2,CO
DELTA,8029,84,82,0,1,1,4,3,0,1,0,80,79,0,1,CO
DENVER,8031,2248,1893,13,0,339,66,50,13,0,0,2182,1843,0,339,CO
DOLORES,8033,1,1,0,0,0,0,0,0,0,0,1,1,0,0,CO
DOUGLAS,8035,775,582,3,1,188,39,32,1,1,4,736,550,2,184,CO
EAGLE,8037,82,72,1,0,9,8,8,0,0,0,74,64,1,9,CO
ELBERT,8039,69,57,0,0,12,4,3,0,0,1,65,54,0,11,CO
"EL PASO",8041,2139,1816,6,0,317,46,37,6,0,3,2093,1779,0,314,CO
FREMONT,8043,113,96,0,0,17,1,1,0,0,0,112,95,0,17,CO
GARFIELD,8045,118,108,1,0,9,8,7,1,0,0,110,101,0,9,CO
GILPIN,8047,18,16,0,0,2,0,0,0,0,0,18,16,0,2,CO
GRAND,8049,27,23,0,0,4,2,2,0,0,0,25,21,0,4,CO
GUNNISON,8051,18,17,1,0,0,3,2,1,0,0,15,15,0,0,CO
HUERFANO,8055,14,13,0,0,1,0,0,0,0,0,14,13,0,1,CO
JACKSON,8057,1,1,0,0,0,0,0,0,0,0,1,1,0,0,CO
JEFFERSON,8059,1960,1632,11,0,317,55,45,9,0,1,1905,1587,2,316,CO
KIOWA,8061,2,2,0,0,0,0,0,0,0,0,2,2,0,0,CO
"KIT CARSON",8063,18,17,0,0,1,0,0,0,0,0,18,17,0,1,CO
LAKE,8065,7,7,0,0,0,0,0,0,0,0,7,7,0,0,CO
"LA PLATA",8067,52,48,0,0,4,4,4,0,0,0,48,44,0,4,CO
LARIMER,8069,805,682,4,0,119,28,21,4,0,3,777,661,0,116,CO
"LAS ANIMAS",8071,31,25,2,0,4,3,1,2,0,0,28,24,0,4,CO
LINCOLN,8073,10,9,0,0,1,0,0,0,0,0,10,9,0,1,CO
LOGAN,8075,26,21,0,0,5,0,0,0,0,0,26,21,0,5,CO
MESA,8077,521,438,2,0,81,12,9,1,0,2,509,429,1,79,CO
MINERAL,8079,1,1,0,0,0,0,0,0,0,0,1,1,0,0,CO
MOFFAT,8081,30,19,0,0,11,1,1,0,0,0,29,18,0,11,CO
MONTEZUMA,8083,31,25,0,0,6,2,2,0,0,0,29,23,0,6,CO
MONTROSE,8085,94,79,2,0,13,4,2,2,0,0,90,77,0,13,CO
MORGAN,8087,56,46,0,0,10,2,2,0,0,0,54,44,0,10,CO
OTERO,8089,50,44,1,0,5,3,2,1,0,0,47,42,0,5,CO
OURAY,8091,9,8,0,0,1,1,1,0,0,0,8,7,0,1,CO
PARK,8093,39,29,0,0,10,0,0,0,0,0,39,29,0,10,CO
PHILLIPS,8095,4,3,0,0,1,0,0,0,0,0,4,3,0,1,CO
PITKIN,8097,14,9,1,0,4,4,3,1,0,0,10,6,0,4,CO
PROWERS,8099,11,9,0,0,2,0,0,0,0,0,11,9,0,2,CO
PUEBLO,8101,795,697,4,0,94,11,7,4,0,0,784,690,0,94,CO
"RIO BLANCO",8103,12,11,0,0,1,1,0,0,0,1,11,11,0,0,CO
"RIO GRANDE",8105,29,26,0,0,3,1,1,0,0,0,28,25,0,3,CO
ROUTT,8107,48,38,0,0,10,2,2,0,0,0,46,36,0,10,CO
SAGUACHE,8109,13,13,0,0,0,0,0,0,0,0,13,13,0,0,CO
"SAN MIGUEL",8113,17,13,3,0,1,2,0,2,0,0,15,13,1,1,CO
SEDGWICK,8115,6,5,0,1,0,1,0,0,1,0,5,5,0,0,CO
SUMMIT,8117,37,34,0,0,3,3,3,0,0,0,34,31,0,3,CO
TELLER,8119,67,56,0,0,11,4,4,0,0,0,63,52,0,11,CO
WASHINGTON,8121,6,4,0,1,1,1,0,0,1,0,5,4,0,1,CO
WELD,8123,795,657,0,0,138,15,14,0,0,1,780,643,0,137,CO
YUMA,8125,15,13,0,0,2,0,0,0,0,0,15,13,0,2,CO
BROWARD,12011,1,0,0,0,1,0,0,0,0,0,1,0,0,1,CO
OSCEOLA,12097,1,1,0,0,0,0,0,0,0,0,1,1,0,0,CO
"ST. JOHNS",12109,1,1,0,0,0,0,0,0,0,0,1,1,0,0,CO
SEMINOLE,12117,2,1,0,0,1,0,0,0,0,0,2,1,0,1,CO
COBB,13067,1,0,0,0,1,0,0,0,0,0,1,0,0,1,CO
FULTON,13121,1,1,0,0,0,0,0,0,0,0,1,1,0,0,CO
HAWAII,15001,1,1,0,0,0,1,1,0,0,0,0,0,0,0,CO
JACKSON,17077,1,1,0,0,0,0,0,0,0,0,1,1,0,0,CO
KOSCIUSKO,18085,1,1,0,0,0,0,0,0,0,0,1,1,0,0,CO
MARION,18097,1,0,0,0,1,0,0,0,0,0,1,0,0,1,CO
PORTER,18127,1,0,0,0,1,0,0,0,0,0,1,0,0,1,CO
WAYNE,18177,1,0,0,0,1,0,0,0,0,0,1,0,0,1,CO
GREENWOOD,20073,1,0,0,0,1,0,0,0,0,0,1,0,0,1,CO
POTTAWATOMIE,20149,1,0,0,0,1,0,0,0,0,0,1,0,0,1,CO
SEDGWICK,20173,1,1,0,0,0,0,0,0,0,0,1,1,0,0,CO
BOSSIER,22015,1,0,0,0,1,0,0,0,0,0,1,0,0,1,CO
PIKE,28113,1,0,0,0,1,0,0,0,0,0,1,0,0,1,CO
JACKSON,29095,1,1,0,0,0,0,0,0,0,0,1,1,0,0,CO
"ST. LOUIS CITY",29510,1,1,0,0,0,0,0,0,0,0,1,1,0,0,CO
DOUGLAS,31055,1,0,0,0,1,0,0,0,0,0,1,0,0,1,CO
BERNALILLO,35001,2,0,0,0,2,0,0,0,0,0,2,0,0,2,CO
"DONA ANA",35013,1,0,0,0,1,0,0,0,0,0,1,0,0,1,CO
CUMBERLAND,37051,1,0,0,0,1,0,0,0,0,0,1,0,0,1,CO
IREDELL,37097,1,1,0,0,0,0,0,0,0,0,1,1,0,0,CO
CROOK,41013,1,0,0,0,1,0,0,0,0,0,1,0,0,1,CO
MARION,41047,1,0,0,0,1,0,0,0,0,0,1,0,0,1,CO
UMATILLA,41059,1,1,0,0,0,0,0,0,0,0,1,1,0,0,CO
WASHINGTON,41067,1,1,0,0,0,0,0,0,0,0,1,1,0,0,CO
RICHLAND,45079,1,1,0,0,0,0,0,0,0,0,1,1,0,0,CO
BRADLEY,47011,1,0,0,0,1,0,0,0,0,0,1,0,0,1,CO
MADISON,47113,1,1,0,0,0,0,0,0,0,0,1,1,0,0,CO
BEXAR,48029,1,0,0,0,1,0,0,0,0,0,1,0,0,1,CO
DALLAS,48113,3,1,0,0,2,0,0,0,0,0,3,1,0,2,CO
TARRANT,48439,1,0,0,0,1,0,0,0,0,0,1,0,0,1,CO
IRON,49021,1,0,0,0,1,0,0,0,0,0,1,0,0,1,CO
KING,53033,1,1,0,0,0,0,0,0,0,0,1,1,0,0,CO
SNOHOMISH,53061,1,1,0,0,0,0,0,0,0,0,1,1,0,0,CO
LARAMIE,56021,1,1,0,0,0,0,0,0,0,0,1,1,0,0,CO
"DISTRICT OF COLUMBIA",11001,762,616,26,0,120,52,27,22,0,3,710,589,4,117,DC
"ANNE ARUNDEL",24003,1,0,0,0,1,0,0,0,0,0,1,0,0,1,DC
MONTGOMERY,24031,3,1,2,0,0,2,0,2,0,0,1,1,0,0,DC
"PRINCE GEORGE'S",24033,10,7,0,0,3,0,0,0,0,0,10,7,0,3,DC
WASHINGTON,24043,1,1,0,0,0,0,0,0,0,0,1,1,0,0,DC
"BALTIMORE (CITY)",24510,1,1,0,0,0,1,1,0,0,0,0,0,0,0,DC
SUFFOLK,25025,3,0,3,0,0,3,0,3,0,0,0,0,0,0,DC
PETTIS,29159,1,0,0,0,1,0,0,0,0,0,1,0,0,1,DC
HALIFAX,37083,1,0,0,0,1,0,0,0,0,0,1,0,0,1,DC
FAIRFAX,51059,2,0,1,0,1,1,0,1,0,0,1,0,0,1,DC
SPOTSYLVANIA,51177,1,1,0,0,0,0,0,0,0,0,1,1,0,0,DC
MARICOPA,4013,2,0,2,0,0,2,0,2,0,0,0,0,0,0,DE
MOHAVE,4015,2,0,2,0,0,2,0,2,0,0,0,0,0,0,DE
"LOS ANGELES",6037,12,1,11,0,0,12,1,11,0,0,0,0,0,0,DE
ORANGE,6059,4,0,4,0,0,4,0,4,0,0,0,0,0,0,DE
"SAN FRANCISCO",6075,2,0,2,0,0,2,0,2,0,0,0,0,0,0,DE
"SANTA BARBARA",6083,22,0,22,0,0,22,0,22,0,0,0,0,0,0,DE
ARAPAHOE,8005,10,1,9,0,0,10,1,9,0,0,0,0,0,0,DE
DENVER,8031,1,1,0,0,0,1,1,0,0,0,0,0,0,0,DE
JEFFERSON,8059,1,0,1,0,0,1,0,1,0,0,0,0,0,0,DE
LARIMER,8069,3,0,3,0,0,3,0,3,0,0,0,0,0,0,DE
WELD,8123,1,1,0,0,0,1,1,0,0,0,0,0,0,0,DE
KENT,10001,483,336,0,1,146,7,6,0,1,0,476,330,0,146,DE
"NEW CASTLE",10003,1459,895,38,0,525,80,35,37,0,7,1379,860,1,518,DE
SUSSEX,10005,428,331,3,2,92,10,5,3,1,1,418,326,0,91,DE
"DISTRICT OF COLUMBIA",11001,2,0,2,0,0,2,0,2,0,0,0,0,0,0,DE
BROWARD,12011,6,3,3,0,0,6,3,3,0,0,0,0,0,0,DE
COLLIER,12021,3,0,3,0,0,3,0,3,0,0,0,0,0,0,DE
HILLSBOROUGH,12057,12,0,12,0,0,12,0,12,0,0,0,0,0,0,DE
LEE,12071,2,0,2,0,0,2,0,2,0,0,0,0,0,0,DE
MARION,12083,1,0,0,0,1,0,0,0,0,0,1,0,0,1,DE
"PALM BEACH",12099,2,1,1,0,0,2,1,1,0,0,0,0,0,0,DE
COBB,13067,1,1,0,0,0,0,0,0,0,0,1,1,0,0,DE
COWETA,13077,1,1,0,0,0,1,1,0,0,0,0,0,0,0,DE
DEKALB,13089,1,0,1,0,0,1,0,1,0,0,0,0,0,0,DE
BONNER,16017,8,0,8,0,0,8,0,8,0,0,0,0,0,0,DE
COOK,17031,11,7,4,0,0,11,7,4,0,0,0,0,0,0,DE
PENOBSCOT,23019,1,1,0,0,0,1,1,0,0,0,0,0,0,0,DE
CAROLINE,24011,1,1,0,0,0,0,0,0,0,0,1,1,0,0,DE
CECIL,24015,6,4,0,0,2,1,1,0,0,0,5,3,0,2,DE
FREDERICK,24021,1,0,0,0,1,0,0,0,0,0,1,0,0,1,DE
"PRINCE GEORGE'S",24033,1,0,0,0,1,0,0,0,0,0,1,0,0,1,DE
WICOMICO,24045,1,1,0,0,0,0,0,0,0,0,1,1,0,0,DE
"BALTIMORE (CITY)",24510,1,1,0,0,0,0,0,0,0,0,1,1,0,0,DE
BARNSTABLE,25001,18,0,18,0,0,18,0,18,0,0,0,0,0,0,DE
MIDDLESEX,25017,2,1,1,0,0,2,1,1,0,0,0,0,0,0,DE
NORFOLK,25021,2,0,2,0,0,2,0,2,0,0,0,0,0,0,DE
SUFFOLK,25025,2,0,2,0,0,2,0,2,0,0,0,0,0,0,DE
OAKLAND,26125,31,31,0,0,0,31,31,0,0,0,0,0,0,0,DE
DAKOTA,27037,4,0,4,0,0,4,0,4,0,0,0,0,0,0,DE
FREEBORN,27047,1,0,1,0,0,1,0,1,0,0,0,0,0,0,DE
HENNEPIN,27053,3,0,3,0,0,3,0,3,0,0,0,0,0,0,DE
TATE,28137,1,0,1,0,0,1,0,1,0,0,0,0,0,0,DE
JACKSON,29095,1,0,1,0,0,1,0,1,0,0,0,0,0,0,DE
MISSOULA,30063,1,0,1,0,0,1,0,1,0,0,0,0,0,0,DE
CLARK,32003,24,0,24,0,0,24,0,24,0,0,0,0,0,0,DE
HUMBOLDT,32013,1,0,1,0,0,1,0,1,0,0,0,0,0,0,DE
WASHOE,32031,13,0,13,0,0,13,0,13,0,0,0,0,0,0,DE
HILLSBOROUGH,33011,12,0,12,0,0,12,0,12,0,0,0,0,0,0,DE
ATLANTIC,34001,8,0,8,0,0,8,0,8,0,0,0,0,0,0,DE
BURLINGTON,34005,1,1,0,0,0,0,0,0,0,0,1,1,0,0,DE
CUMBERLAND,34011,1,0,0,0,1,0,0,0,0,0,1,0,0,1,DE
ESSEX,34013,1,1,0,0,0,0,0,0,0,0,1,1,0,0,DE
MIDDLESEX,34023,5,0,5,0,0,5,0,5,0,0,0,0,0,0,DE
OCEAN,34029,1,0,1,0,0,1,0,1,0,0,0,0,0,0,DE
SALEM,34033,1,1,0,0,0,0,0,0,0,0,1,1,0,0,DE
ALBANY,36001,1,0,1,0,0,1,0,1,0,0,0,0,0,0,DE
"NEW YORK",36061,27,8,19,0,0,27,8,19,0,0,0,0,0,0,DE
